x0000,y0000,x0001,y0001
68.3,53.31, , ,
68.4,53.31, , ,
68.5,53.31, , ,
68.6,53.31, , ,
68.7,53.31, , ,
68.8,53.31, , ,
68.9,53.44, , ,
69,53.44, , ,
69.1,53.44, , ,
69.2,53.44, , ,
69.3,53.44, , ,
69.4,53.44, , ,
69.5,53.5, , ,
69.6,53.5, , ,
69.7,53.5, , ,
69.8,53.5, , ,
69.9,53.5, , ,
70,53.5, , ,
70.1,53.63, , ,
70.2,53.63, , ,
70.3,53.63, , ,
70.4,53.63, , ,
70.5,53.63, , ,
70.6,53.63, , ,
70.7,53.75, , ,
70.8,53.75, , ,
70.9,53.75, , ,
71,53.75, , ,
71.1,53.75, , ,
71.2,53.75, , ,
71.3,53.88, , ,
71.4,53.88, , ,
71.5,53.88, , ,
71.6,53.88, , ,
71.7,53.88, , ,
71.8,53.88, , ,
71.9,53.94, , ,
72,53.94, , ,
72.1,53.94, , ,
72.2,53.94, , ,
72.3,53.94, , ,
72.4,53.94, , ,
72.5,54.06, , ,
72.6,54.06, , ,
72.7,54.06, , ,
72.8,54.06, , ,
72.9,54.06, , ,
73,54.06, , ,
73.1,54.19, , ,
73.2,54.19, , ,
73.3,54.19, , ,
73.4,54.19, , ,
73.5,54.19, , ,
73.6,54.19, , ,
73.7,54.25, , ,
73.8,54.25, , ,
73.9,54.25, , ,
74,54.25, , ,
74.1,54.25, , ,
74.2,54.25, , ,
74.3,54.38, , ,
74.4,54.38, , ,
74.5,54.38, , ,
74.6,54.38, , ,
74.7,54.38, , ,
74.8,54.38, , ,
74.9,54.5, , ,
75,54.5, , ,
75.1,54.5, , ,
75.2,54.5, , ,
75.3,54.5, , ,
75.4,54.5, , ,
75.5,54.56, , ,
75.6,54.56, , ,
75.7,54.56, , ,
75.8,54.56, , ,
75.9,54.56, , ,
76,54.56, , ,
76.1,54.69, , ,
76.2,54.69, , ,
76.3,54.69, , ,
76.4,54.69, , ,
76.5,54.69, , ,
76.6,54.69, , ,
76.7,54.81, , ,
76.8,54.81, , ,
76.9,54.81, , ,
77,54.81, , ,
77.1,54.81, , ,
77.2,54.81, , ,
77.3,54.88, , ,
77.4,54.88, , ,
77.5,54.88, , ,
77.6,54.88, , ,
77.7,54.88, , ,
77.8,54.88, , ,
77.9,55, , ,
78,55, , ,
78.1,55, , ,
78.2,55, , ,
78.3,55, , ,
78.4,55, , ,
78.5,55.06, , ,
78.6,55.06, , ,
78.7,55.06, , ,
78.8,55.06, , ,
78.9,55.06, , ,
79,55.06, , ,
79.1,55.19, , ,
79.2,55.19, , ,
79.3,55.19, , ,
